,id,lambda_function_name,event_time,write_to_database_timestamp,function_end_timestamp,billed_duration_ms,cold_start
32,image_capture_2025-05-07_06-00-00.jpg,site1-lambdafunction,2025-05-07 12:00:17,2025-05-07 12:00:35.414,2025-05-07 12:00:35.466,16756.0,True
33,image_capture_2025-05-07_05-00-00.jpg,site1-lambdafunction,2025-05-07 11:00:03,2025-05-07 11:00:23.229,2025-05-07 11:00:23.402,18836.0,True
34,image_capture_2025-05-07_04-00-00.jpg,site1-lambdafunction,2025-05-07 10:00:01,2025-05-07 10:00:20.691,2025-05-07 10:00:20.776,18396.0,True
35,image_capture_2025-05-07_02-00-00.jpg,site1-lambdafunction,2025-05-07 08:01:05,2025-05-07 08:01:34.306,2025-05-07 08:01:34.355,27411.0,True
36,image_capture_2025-05-07_01-00-00.jpg,site1-lambdafunction,2025-05-07 07:00:56,2025-05-07 07:01:15.917,2025-05-07 07:01:16.418,18572.0,True
37,image_capture_2025-05-06_23-59-59.jpg,site1-lambdafunction,2025-05-07 06:00:43,2025-05-07 06:01:05.322,2025-05-07 06:01:06.398,22414.0,True
38,image_capture_2025-05-06_23-00-00.jpg,site1-lambdafunction,2025-05-07 05:00:30,2025-05-07 05:00:56.091,2025-05-07 05:00:56.202,24538.0,True
39,image_capture_2025-05-06_22-00-00.jpg,site1-lambdafunction,2025-05-07 04:00:20,2025-05-07 04:00:37.893,2025-05-07 04:00:37.994,16967.0,True
40,image_capture_2025-05-06_21-00-00.jpg,site1-lambdafunction,2025-05-07 03:00:17,2025-05-07 03:00:42.633,2025-05-07 03:00:42.714,24116.0,True
41,image_capture_2025-05-06_20-00-00.jpg,site1-lambdafunction,2025-05-07 02:00:04,2025-05-07 02:00:31.445,2025-05-07 02:00:31.511,25301.0,True
42,image_capture_2025-05-06_19-00-00.jpg,site1-lambdafunction,2025-05-07 01:00:01,2025-05-07 01:00:19.360,2025-05-07 01:00:19.449,16715.0,True
43,image_capture_2025-05-06_18-00-00.jpg,site1-lambdafunction,2025-05-07 00:01:05,2025-05-07 00:01:23.513,2025-05-07 00:01:23.619,16780.0,True
44,image_capture_2025-05-06_17-00-00.jpg,site1-lambdafunction,2025-05-06 23:00:52,2025-05-06 23:01:11.084,2025-05-06 23:01:11.225,17682.0,True
45,image_capture_2025-05-06_16-00-00.jpg,site1-lambdafunction,2025-05-06 22:00:42,2025-05-06 22:00:58.948,2025-05-06 22:00:59.036,15243.0,True
